,review,predictedvalue
15,"
            Such a beautiful set of earrings, I�ve been on the hunt for earrings which look very sophisticated and these are perfect! They fit so well and do not fall off the lobe. This is my new fav seller and I�ll definitely be buying more jewellery soon!
        ",1.0
16,"
            Love them! Great quality and I get so many compliments. Shipped promptly and even with COVID delays still managed to get here in time for holiday season. Will definitely be ordering more pieces.
        ",1.0
17,"
            Fantastic quality amd beautiful craftsmanship. I love these earrings. Perfect for my healthcare work setting and more fun than studs. Shipping was quick considering it is international post.
        ",1.0
18,"
            Wirklich sehr sch�ne und fein gearbeitete Ohrringe! Shop Inhaberin ist auch wirklich super nett und bei jeglichen Problemstellungen leicht zu kontaktieren und �u�erst hilfsbereit! :)
        ",1.0
19,"
            Anja kept me in the loop with Covid shipping to the United States, and creates absolutely beautiful items! I love the ear crawlers, and they fit with no issues!
        ",1.0
20,"
            fast shipping, high quality earrings. beautiful, looks great. just love it!!! tnx
        ",1.0
21,"
            Prachtige earclimbers, mooi ingepakt, met zilverdoekje bijgesloten,snelle verzending, echte aanrader.
        ",1.0
22,"
            I love the earrings as they are a gift for a friend.  Was shipped quickly; had an error on the mailing address.  She caught it very quickly and then changed my address.  I received them and worth a purchase.  Thank you - they are in Quebec so I am glad I could buy from a Canadian store on Etsy.

Dorothy
Calgary
        ",1.0
23,"
            Tres beau  tres satisfaite  et apprecier
        ",1.0
24,"
            Love these mandala earrings:  delicate design, light and comfortable to wear.  Sent quickly, boxed for safety, arrived safe!  Highly recommended!
        ",1.0
25,"
            Perfectly beautiful!
        ",1.0
26,"
            Best jewelry ever!   I love this look.  I get sooo many compliments.  I have the ear cuffs and both ear climbers.  I did lose a climber in the shower... I think it tends to get loose and release when wet but I ordered another and am careful.   I sleep in them too no problem.   Just wonderful jewelry and awesome seller.
        ",1.0
27,"
            these are so cool!! i've been looking for some unique gold pieces to change up my ear jewelry and this is exactly what i was looking for. easy to put in and look very nice!
        ",1.0
28,"
            Ich dache es handelt sich um ein rechts links P�rchen. Abgesehen davon sind sie sehr sch�n
        ",1.0
29,"
            Looove them!!
        ",1.0
30,"
            Wow, these ear climbers are so beautiful in person! They're elegant and better than I expected. They're also incredibly light so you don't notice you're wearing them. You can sleep in them, shower in them, etc., and they stay securely in place. Also, the shipping was super fast. Thank you!
        ",1.0
31,"
            It was packaged nice and was delivered to me in a timely manner. The 925 Silver is shiny and very beautiful. However, I do think that these specific ones don't compliment my ear shape very well. They also would slide off my ear occasionally throughout my day when I would wear them. *5 stars for the fast shipping, reasonable prices, and secure packaging. Definitely looking forward to trying out some other styles of earrings and ear climbers from this shop in the future.
        ",1.0
32,"
            I loved the earrings they were exactly what I was looking for and curved great with my which I loved so thank you very much!
        ",1.0
33,"
            The earrings are so pretty and they look so beautiful on. The quality is very nice and they look like they could be so expensive. Shipping was faster than expected which made me happy to have them before Christmas. Thank you!!
        ",1.0
34,"
            I really like these earrings. It did take awhile to get them (one month) but considering they were coming from Spain during COVID and Christmas I can let that pass. Just glad to help a small business whenever I can.
        ",1.0
35,"
            My new favorite earrings. They're incredible ans so beautiful! It was worth the wait all the way! ( I wanted to order back in March, but it was impossible)
        ",1.0
36,"
            Shipping takes a while but that is totally normal since the product is shipping from Philippines! They were well worth the wait, I put them on immediately! So cute + dainty. Love them <3
        ",1.0
37,"
            Climbers are so beautiful! They arrived in a cute little corked jar where they live when I'm not wearing them. The stem piece that will thread through the hole is a little thicker than most earrings, but they went in fine. Love em!
        ",1.0
38,"
            These are beautiful and everything I was hoping for. I wore them to my college graduation and had many compliments and people asking where I got them. They are a bit difficult to get in at first and are EXTREMELY fragile, so they are definitely not for everyday wear. If you are looking for an earring you can just put in and forget about then these are not for you. But, if you're looking for a beautiful and unique piece of jewelry to make you stand out and look Awesome, then these are it. 

I especially loved the package they were delivered in. Just magical! 
        ",1.0
39,"
            Absolutely love these gorgeous earrings - they are simply perfect. I chose pink and orange and the colour combination is beautiful. They are really different and I plan to order more. The packaging is also really cool! Delighted with this purchase and the seller was extremely helpful too - very happy!
        ",1.0
40,"
            These earrings are so unusual, they look even prettier in real life. The seller was very helpful, delivery was very quick and I'll definitely be ordering more of these in different colours.
        ",1.0
41,"
            + + + + + + + +
        ",1.0
42,"
            So this is my second engagement ring, we got it to match my fianc�s wedding band since his is grey/black with black diamonds + rose gold trim. It�s so beautiful in person and people love it! 
I put a photo of the 2 ct. salt and pepper ring with rose gold alongside my original ring (not from etsy) which is a .65 center white diamond for comparison. My ring size is a 3.5. The seller was very nice and sent me a video and photo of the diamond she would use.
        ",1.0
43,"
            I could not have asked for a more incredible experience or ring. Lena was so incredibly helpful and kind, and her work absolutely speaks for itself. Here�s what my (now) fianc�e had to say:

�This ring is everything I�ve ever wanted. It�s perfectly petite yet makes SUCH a statement! I haven�t had it on a full 24 hours and can�t even count how many people have said �that is by far the most beautiful ring I�ve ever seen.��
        ",1.0
44,"
            I can�t stop staring at my new engagement ring! Honestly it�s one of the prettiest rings I�ve ever seen. My fianc� is very proud of it and I�m a very happy fianc�e. He says his favorite part is how much I love it. Lena was amazing and patient answering all our questions about fitting it with wedding bands we had from my grandma. She even gave us a little sneak video to help with our excitement (though to be honest it was all my excitement)!  Shipping was incredibly fast! I hear nothing but compliments when people notice my ring!
        ",1.0
45,"
            Words can�t even describe how impressed I was! At first I was skeptical ordering a ring without seeing it in person. However I�m so glad I did! Lena was amazing throughout the whole process! My boyfriend and I picked out this ring together as my engagement ring, but has not yet proposed, so waiting to officially wear it! Highly recommend this shop! They were very flexible with payments and doing custom sizing. Couldn�t have had a better experience!
        ",1.0
46,"
            Des bijoux simples et originaux. Parfaits pour des petits cadeaux � se faire soi-m�me.
        ",1.0
47,"
            Envoi soign�, boucles d'oreille tr�s sympa !
        ",1.0
48,"
            Simple et �l�gante. C�est parfait.
        ",1.0
49,"
            Tr�s jolie et �l�gante, c'est une belle cr�ation !
        ",1.0
50,"
            The earrings are stunning, high quality, and look exactly like the picture. The customer service is great too, 10/10 definitely recommend!
        ",1.0
51,"
            I am so in love with these earrings! Everything about this purchase was amazing. These are my favourite everyday pair, thank you!
        ",1.0
52,"
            I really like these! They don't irritate my ears because they are made of silver. They go with every outfit. Only issues are putting them on and taking them off is a challenge because they are very small and have 3 pieces to manage. I've dropped the pieces several times. But that's getting better with practice.
        ",1.0
53,"
            These are so beautiful! I also like that you can wear them with or without the backing. My new favorite and everyday earrings!
        ",1.0
54,"
            I bought this piece along with another ear jacket. I have to say, I am OBSESSED. I am really into minimalistic jewelry and I�m always looking for more jewelry that�s simple but not boring. Every time I try to find minimalist earrings I just find simple balls or gems, and I�m not a fan. These are perfect. They are simple and understated but actually an interesting design, unlike so much of what I find. Gold Spoon, keep doing you, you�re making minimalism more interesting.
        ",1.0
55,"
            Absolutely STUNNING!  Excellent quality and packaged so nicely.  Arrived earlier than expected.  I�m in love!
        ",1.0
56,"
            Bought a few pairs from this shop and so glad I did! Absolutely beautiful jewelry and the packaging made it feel super fancy & high end! Can�t wait to wear them out :)
        ",1.0
57,"
            These are my absolute favorite pair of earings!!! I love them and have gotten so many compliments on them!!! The packaging was so beautiful as well, I wish I could post noimore photos. You won't regret ordering these beauties!!
        ",1.0
58,"
            Brilliant product and the presentation was lovely. Comes in its own box which is a great
        ",1.0
59,"
            Gorgeous,  well presented, great service too.
        ",1.0
60,"
            Gorgeous, just like the photo so not disappointed, arrived in a beautiful gift box which is a lovely touch.
Would highly recommend.
        ",1.0
61,"
            Wore these on my wedding day. Looked so perfect! Love them
        ",1.0
62,"
            Absolutely loved these earrings. I wore them on my wedding day and they couldn�t have been more perfect.
        ",1.0
63,"
            Wore these earrings for my wedding and absolutely loved them! They fit perfectly and looked beautiful. I got so many compliments on them. I also have really sensitive ears and these earrings didn't irritate them at all!
        ",1.0
64,"
            Love these! Wore them on my wedding. We're beautiful and unique. I got a lot of compliments!
        ",1.0
65,"
            Perfectly beautiful earrings!  I wore them on my wedding day and got so many compliments!
        ",1.0
66,"
            I am so please with this owner ! My ears were reacting to the metal and the owner gladly sent me a pair that worked much better ! Beautiful quality and an overall great experience. Thank you so much!
        ",1.0
67,"
            Love love love my new earrings!! More beautiful than I imagined they would be. Made and packaged with care. I will be back for more. Thank you so much! Love and light to you and your family. Stay well.
        ",1.0
68,"
            Love these!  Incredibly light weight and very cute.  I ordered them in gold.  I haven't removed them since they arrived and get lots of compliments!
        ",1.0
69,"
            Thank you Nicole for my beautiful earrings. I haven't  taken them off since I got them because I love the way they look so simple and clean yet so timeless and chic. Thank you so much for my new favorite earrings <3<3 :-D
        ",1.0
70,"
            This is the 4th time I�ve purchased these earrings, and I now own them in both silver and gold. 
My first order was for myself, and as a mom and aunt of littles I wanted earrings that were lovely, go with everything, and weren�t made for little hands to pull on. I had no idea how much I would end up loving them, and they became my everyday earrings for almost two years! Sadly I knocked them out putting on my full face mask for a snorkeling trip, and lost them at the bottom of the ocean. I loved them so much I had to replace them ASAP, and they are back in my ears and still the same quality as when I originally ordered years ago. The other other two pairs I ordered as gifts for friends who really liked mine and commented on them all the time. Trust me, just order them, you�ll LOVE them, and they are flexible to adjust to your ear
        ",1.0
71,"
            Beautiful earrings! I got many compliments.
        ",1.0
72,"
            I love these!! Absolutely perfect, just what I was hoping to use on my wedding! The second clip doesn�t exacly fit my ear correctly (maybe because of my ear shape, not sure...I�ll have to figure a way), but I score 5 stars because it is absolutely stunning, shipping was on time, and packaging sooo cute (loved the details and care!). I�ll post a picture on your instagram wearing them on my big day!
        ",1.0
73,"
            These are beautiful, quality, and hand crafted. I love them. They are stunning and unique. Very excited for my wedding day. My only recommendation for the shop owner is to post a photo of the back of the earring. I did not realize it had a stud and a clip on section (makes sense given its design; very practical!). I also like that I can adjust the strength of the clip on part. They are a bit heavier than you might expect, so if you have sensitive ears, you might want to go a bit smaller. 
        ",1.0
74,"
            Stunning! They were the perfect touch to my wedding dress.
        ",1.0
75,"
            I was so happy with the pieces I bought and got so many compliments throughout my wedding! Great communication with shop owner and worked with me to expedite my order so I had it for my wedding day!!
        ",1.0
76,"
            my order arrived today and as always the pieces are so beautiful.  the lotus flower jacket earrings had to be replaced since i lost one. i love my new anklet and the half moon necklace is absolutely stunning.  the gift was so unbelievably sweet of you dear inali. thank you so much.
        ",1.0
77,"
            Absolutely love these earrings!  They are the perfect size and very unique! Wish I had bought a few more. They shipped right away but took about 2 months to receive due to covid (sat in US customs for a month). Definitely would recommend!
        ",1.0
78,"
            Absolutely love the Lotus jacket! Super worth it and very fast shipping!
        ",1.0
79,"
            Absolutely stunning! I have to say that there is nothing that you don't do beautifully! These earrings are modern but still very dainty and beautiful. I am a forever customer and HIGHLY recommend you to anyone looking for beautiful jewelry!!
        ",1.0
80,"
            Absolutely love these ear climbers! They are exactly as pictured. Took me a couple tries to get them on, as ive never worn something like this before...they were a tad tight on my ears, but a simple adjustment fixed that personal problem lol they are comfy enough to wear all day now. I also received these super fast via usps. I'll def order more from this seller in the future. Thanks!
        ",1.0
81,"
            These are so pretty!  They're just the right amount of sparkle and I think they are very sophisticated as well as trendy.  They never fall down and are so comfortable, even when answering the phone.  I just wish they had more colors!
        ",1.0
82,"
            Its came in a cute box with a thank you card and letting me know how to take care of the earrings. Thank you so much they are beautiful.
        ",1.0
83,"
            Absolutely love!  Have been looking for ear climbers, and the look and quality are excellent
        ",1.0
84,"
            Wow.  I love the earrings! High quality product, style and packaging.  I will most definitely be ordering again soon.  These are absolutely beautiful.
        ",1.0
85,"
            Emmanuela is truly amazing!!  The quality of her work and her designs are so worth waiting for.  Wow!  She is also super responsive when you have a question and no custom order is too complicated.  Great shop, great work, great artist!  I highly, highly recommend her.  
        ",1.0
86,"
            I. Love. These. Earrings! Incredibly fast international shipping despite a global pandemic. I will absolutely be buying more from this seller!
        ",1.0
87,"
            I am very happy with the item I purchased from here. I bought earrings as a Christmas gift and not only were they great quality but the shipping was so fast! I was surprised at how quickly they arrived. I would definitely order again!
        ",1.0
88,"
            OtisJaxon is my new BFF. These are So Cool! Really beautiful, lightweight and comfortable to wear, shipped super quick -- can't ask for more! Love you OJ
        ",1.0
89,"
            I'm very happy with these earrings and they look exactly like the picture. I get lots of compliments on them! They're simple, yet catch the eye because they are unique.
        ",1.0
90,"
            I've had loads of compliments on these earrings. I love that they can be worn with and without the additional ring on the back. Very stylish and versatile
        ",1.0
91,"
            These are so pretty as well. All are very dainty and beautiful!
        ",1.0
92,"
            Wonderful! Adorable packaging and quick order. I�ve already received compliments & they�re in my regular rotation. :)
        ",1.0
93,"
            I love my ear climbers! They are som comfortable and exactly what I was looking for in my second hole. I used to not be able to wear earrings in the second hole because they would get irritated from the backs. So this solved my problem because there is no �back�, it just slips on and stays put! I keep them in at all times, have had them a month now and haven�t taken them out once! I do live in USA and because they  originate and ship from Spain it did take almost 2 months to get them in. So just a heads up the shipping took quite a long time! But I did eventually receive item and seller was very helpful in making sure they were received.
        ",1.0
94,"
            Got these today and I love them! Beautifully made trendy climbers. I was worried they may not fit me well as my earlobes are thin but they are perfect!...Thank you
        ",1.0
95,"
            Gorgeous pair of ear climbers, so happy with the purchase and supporting small businesses via Etsy especially during this time. Beautiful packaging and super cute. Highly recommend. 

Great communications too. Thank you :)
        ",1.0
96,"
            Tr�s joli petit bijou que j'ai re�u avec plaisir. C'est un tr�s joli travail qui correspond tout � fait � ce que j'attendais. Merci beaucoup !
        ",0.0
97,"
            Just recieved it today and i love it! It took about 3 weeks to ship to the US. I got the gold udjat bracelet and it is gorgeous. Light weight, nice to wear. And fits perfectly since I have smaller wrists. Love it and highly reccomend!
        ",1.0
98,"
            Bague vraiment tr�s belle. Mr Michel Comte est accueillant, � l'�coute, disponible par t�l si besoin, mais r�alise surtout un travail d'une tr�s belle qualit�. J'ai �t� bluff� rapport qualit�/prix.
Sinc�rement, cette bague et moi sommes maintenant ins�parables, et je suis tr�s heureuse de l'avoir command� � cet homme passionn� par son m�tier.
Savoir qu'elle a �t� faite mains et non pas � la cha�ne la rend d'autant plus belle, pr�cieuse et magique � mes yeux. Je la recommande, et vous recommande cet artiste . Vous pouvez commander les yeux ferm�s. Merci � Vous Mr Comte.
        ",0.0
99,"
            Merci pour ce pendentif qui est magnifique ... on ressent et on voit le travail de l'artisan. Le rapport qualit� / prix est excellent
        ",1.0
100,"
            Bellissimi, ottima manifattura, brava, sono magnifici
        ",1.0
101,"
            I love these earrings, they're definitely my style, just a bit unique, but I can still wear them to work! I've gotten SO many compliments and they stay in place on my ears! People have even asked where I bought them! Love Love Them!!
        ",1.0
102,"
            Gorgeous earrings. Delicate and pretty. Love them. Will order more..
        ",1.0
103,"
            Earrings are beautiful! Came with a special note and free ring! Love the whole experience! Highly recommended!
        ",1.0
104,"
            The item came beautifully wrapped and is as described. Shipping to Canada from Indonesia took over a month, but it was worth the wait! The X on the earring seems smaller than the photos - it is more suitable for people with smaller ears I think.
        ",1.0
105,"
            Wonderful and responsive seller. These are easily one of my new favorite earrings (and included was a sweet midi ring, which I love!). Not only that, but shipping was super-fast and everything was carefully packaged into a sturdy little box and wrapped in felt. This is a shop that cares about the customer, and it shows. Definitely recommend!
        ",1.0
106,"
            Loved my earrings! Gracy made sure my earrings arrived promptly, and I even received a sweet, hand-written note and a free customized ring with my order. The jewelry is beautiful and well-made--super happy with ordering from this shop.
        ",1.0
107,"
            First time buying crawlers. I first received them and they are very pretty! I put them and and discovered that I have fluffy earlobes and I was able to have a larger size made and now the fit wonderfully!! I absolutely love them!!
        ",1.0
108,"
            Love my ear climber! It Came fast and with directions :). Looks exactly like the picture and fits very snug! Will be ordering more !
        ",1.0
109,"
            Received in two days! Came in a small box wrapped in ribbon. Very happy with the size and quality.
        ",0.0
110,"
            I love them! I have small ears so it only fits well in my first holes, but very cute!
        ",1.0
111,"
            Shipping was delayed due to Covid and the seller went above and beyond to let me know. Jewelry looks a little smaller in person but is delicate and dainty. I get so many compliments when I wear them.
        ",1.0
112,"
            Die Ohrklemmen wurden sehr schnell geliefert. Sie sind kleiner als erwartet, sehen am Ohr aber perfekt aus. Das Anbringen ist f�r mich noch etwas gew�hnungsbed�rftig, da es meine ersten Ohrklemmen sind. Ich hoffe, das Material bleibt flexibel genug. Auch ein super Geschenk f�r Meerliebhaber - Kaufempfehlung! On top gab es noch ein Silberputztuch gratis dazu.
        ",1.0
113,"
            These are beautiful. I love jewelry that is just a little different so these fish are great. The one gold one in with all the silver, so unique. Worth the wait (about a month) to get them from Germany
        ",1.0
114,"
            I ABSOLUTELY LOVE these rings!!!  It couldn�t have fit my existing �everyday� wedding band set anymore perfect!!!  I also received earrings which are adorable as well!!!  I may have to add to my collection now!  Thank you!!!!
        ",1.0
115,"
            My favourite kind of earrings from now on, they're so delicate but look lovely!
        ",1.0
116,"
            Really really love them, they look great, are a brilliant price and immediate delivery in a very cute box.  Thank you
        ",1.0
117,"
            Absolutely love these, beautiful. And so nicely packaged
        ",1.0
118,"
            Wow what great service, arrived boxed, quickly and excellent quality. 
It is just what I have been looking for, they look amazing on. 
There are so many beautiful items and I will definitely be recommending and buying more bits.
Excellent seller.
        ",1.0
119,"
            I ordered my package January 23d and it arrived today (February 22nd), which I think is a great delivery time considering the distance and covid delays et cetera. so far I'm really happy with the quality, the packaging was great too. I can't say anything for the long run yet but I can definitely recommend shopping here!
        ",1.0
120,"
            Package arrived in a timely fashion, item was presented well, and came with a thoughtful note from the shop. The jewelry itself is pretty, and overall I am satisfied with the purchase!
        ",1.0
121,"
            Shipped fast, unique look! took some trying to figure how to make the earring work, but looks great once you do!
        ",1.0
122,"
            Beautiful! A little bigger than expected but it still fits my small ears. Love them! Exactly what I wanted!
        ",1.0
123,"
            I have 7 piercings, however, I haven't worn earrings in a while because I lost 2 pairs of diamond earrings that my husband had gifted me a few years ago. They were studs with screw backs, however, the screw backs would loosen! Needless to say, that's how I lost my earrings. I decided to go ahead and purchase these earrings because I didn't want my holes to close up. The earrings are incredibly beautiful! I'll be honest and say that I have PTSD, so I constantly check on my earrings. However, I'm glad to say that they've been secured tightly and intact so far! I definitely see myself making future purchases for my loved ones (or for myself!)
        ",1.0
124,"
            I love these earrings!!! I don't know why simulated diamonds get a bad rap. These earrings sparkle and shine like my natural ones. I'm SOLD!
        ",1.0
125,"
            Absolutely stunning earrings and the shop is easy to deal with. It�s my second pair - different sizes - and they are my favourite every day sparkles!
        ",1.0
126,"
            Wowee, the hype is real.  Absolutely adore these earrings, definitely my new favorites.  The oxidized look is perfect, not overdone.  Very well made.  Shipped crazy fast.  Love this shop.
        ",1.0
127,"
            People make mistakes. How you deal with these mistakes is what makes a good shop a great shop. When I ordered these earrings for my mum, they were smaller than described. I contacted the shop and they told me they hadn't adjusted the descriptions yet so I was right. They offered to sent me a new pair in the right size free of charge and with this they went above and beyond what I expected. Turns out they aren't that much bigger after all.
I would recommend these earrings. However, it is important to keep in mind that the bars are actually a bit smaller (7 mm instead of 1 cm) than described. Also, if the space between the bottom of your earlobes and your piercing is broader than the model in de picture, the leaves of the flower won't stand out as much as they do in the pic. Other than that: nice!


        ",1.0
128,"
            I get nothing but compliments with these amazing ear jackets!!!! Awesome :)
        ",1.0
129,"
            These are even more gorgeous in person! Lovely packaging, timely delivery, and quality pieces! Couldn't be happier!
        ",1.0
130,"
            Le bracelet est juste PARFAIT, Rachel est � l'�coute,son travail est g�niale, je porte ses bijoux depuis de longues ann�es et je les aiment toujours autant.Merci Rachel pour tout mes petits tr�sors.
        ",1.0
131,"
            Je suis toujours ravie des cr�ations de Rachel car les pierres choisies sont sublimes et, d�s que je re�ois mon bijoux, je reste sans voix !
        ",1.0
132,"
            I just adore everything about this cool ring. Awesome design, really beautiful tourmaline with so many shades of forest green. I love the vibes of this gorgeous ring... A million thanks to a very talented artist!
        ",1.0
133,"
            Fast delivery, great quality. I gave four stars because the earrings is smaller than I understood from the photo. Maybe my ears are big? Very happy with this shop, I recommend it!
        ",1.0
134,"
            Exactly what I was wanting for my industrial piercing. I even asked to have the earring be a bit longer and my request was granted. Exceptional work for such a minimalist piece. Thank you!!
        ",1.0
135,"
            Love these earrings, just wish my piercings were tighter, as even with the aid of tiny plastic backs, they have the tendency to slip out.
I personally would probably need a bigger post at the front, lovely simple earrings all the same!
Lovely, lovey seller too x
        ",1.0
136,"
            Beautiful simple earnings, fast shipping. I will definitely buy more from this shop.
        ",1.0
137,"
            These earrings are absolutely stunning! Quality craftsmanship and even more gorgeous in person. I am not one to leave reviews, but this earrings were totally worth the wait. I am so delighted with this purchase and this seller! I loved all the little details in the packaging too. It is obvious that the Artikats truly cares about the details from start to finish.
        ",1.0
138,"
            Tellement jolie ! Super contente de ce bijou ! Je recommande � 100%
        ",1.0
139,"
            Love it! Just got one side, so I can use some of my other singles on the other ear. :)
        ",1.0
140,"
            I love these earrings, they are so pretty! They won't stay on though, but I see that my piercing is a bit low on the earlobe so I can't really blame the earrings for that. Shipped on time, and a super sweet seller. Would definitely recommend!
        ",1.0
141,"
            Shipping and response time was great. 
These are by far my favourite earrings. I like that the posts are slightly shorter than typical studs � I find it more comfortable and can lay down with them in. Highly recommend! 
For those in colder areas be careful with scarves! My scarf got caught on the jacket and lost it.
        ",1.0
142,"
            Elles sont tr�s belles. Un peu difficile de les mettre au d�but mais je m'habitue. Le trou de mon oreille est un peu trop bas donc l'effet n'est pas aussi beau que sur la photo mais ce n'est pas la faute de celle qui les a fabriquer. Je vais surement recommander...Merci!!
        ",0.0
143,"
            D�licate et parfaite c�est ma troisi�me commande chez le cubicule.... en plus de toutes celle � qui j�en ai parl� parcontre pour cette commande le 3 eme trous d�une des boucles est trop petit et la pine ne peut y entr�. Avec mon oreille c�est celui qui me convient.On me dit que la m�che est utilis� pour tous les trous. Et on me demande de renvoy� la boucle pour agrandir le trou... je suis d��ue du service apr�s vente.
        ",0.0
144,"
            Beau produit. J'ai de
Beaux commentaires sur mes boucles
D'oreille minimalistes. Je les
Aime beaucoup et le service est top!
        ",0.0
145,"
            I have several pairs and I mix and match them. It's great fun! I couldn't be more pleased and I was given several extra pairs which was such a nice treat!!!
        ",1.0
146,"
            ME ENCANTAN mis nuevos aretes!!! son PERFECTOS!!! Excelente calidad, llegaron en perfecto estado a mi hogar. 
        ",1.0
147,"
            Again I  love love love candyfoxx ' s earrings. These earrings are so beautiful and thank you.
        ",1.0
148,"
            The nose ring is very beautiful and it has good quality/price rate. I will buy again from this seller in the future.
The quality is as I expected and the piercing is even better in person than photo! :)
        ",1.0
149,"
            Just received my cartilage piercing today-I absolutely LOVE it!!! It�s even prettier in person! The materials are very high quality. Also, I am in the USA and the shipping was faster than I expected! So happy with my purchase!
        ",1.0
150,"
            This earring is absolutely beautiful, probably one of the prettiest earrings i�ve ever seen. I was skeptical about the price and length of shipping at first but I could not be more satisfied with the quality of the product and packaging. I don�t want to ever take it out!! Absolutely worth it
        ",1.0
151,"
            These earrings are very well made and I love that they are so different.
Shipping was prompt and all is well....including all the compliments I get.
Thank you so much.
Deb Lanigan ,,          5stars...easily
        ",1.0
152,"
            Here they are at the back. They actually look really good on the front also. Really amazing thanks.
        ",1.0
153,"
            I am so delighted with these beautiful ear jackets! Love the delicate details and craftsmanship. The slice of wood that the earrings came packaged in was a creative, rustic touch. Already eyeing additional stud earrings to mix and match with the jackets - thank you!!
        ",1.0
154,"
            Love these little earrings! Have had many compliments on them.  Took a little while to get here from Lithuania but worth it! 
        ",1.0
155,"
            Super cute! They don't irritate my eats at all.
        ",1.0
156,"
            Beautiful as always! Shipping was reasonably fast. Each piece is so well made, I am a lifetime fan.
        ",1.0
157,"
            Lil bit bigger than I expected, but I like it very much! Thank you!
        ",1.0
158,"
            I cannot express how wonderful these are. Thank you so much!
        ",1.0
159,"
            Shipped quicker than I thought! Only got the right silver one, but now I might have to get the left one too
        ",1.0
160,"
            Amazing!!! Im so in love with my new earrrings! They are trendy and unique, without being too ""out there"". I can wear them out for drinks, to my job as a nurse and to school. Perfect to wear anywhere. Very easy to put in and comfortable to wear. Ive gotten so many compliments! I love them that much- I plan on buying another set for ""backup"".
        ",1.0
161,"
            I loved this product. It was the perfect size and comes exactly as shown. The best part about it was the fact that can be bent slightly to adapt to different ear shapes. I straightened mine out the tiniest bit and it fits perfectly. I could not have asked for a better piece.
        ",1.0
162,"
            Love it!  I wear it almost everyday!  It fits perfectly in the third hole in my ear and follows the natural contour well!  Very happy.  Thanks. :)
        ",1.0
163,"
            Favoriting the shop and on the look out for new designs. 

Not as rose gold as I thought it would be but i loooove the look of it :) 

It's pretty comfortable and so far it feels nonexistent on my ears. I have incredibly sensitive ears as well, so that's saying a lot.
        ",1.0
164,"
            So beautiful and easy to install. I have many old holes never used in my ears but the hole scar stay, I can hide them with that. The right stay in place but sometimes the left fall, but just put back in place and it's perfect. Fast shipping for Canada, I love it! Highly recommand it.
        ",1.0
165,"
            I was concerned that because ear shapes are different this would not work for me but it DOES! Beautifully crafted and fits like a dream. I have short silver hair and wanted something  that had a bit of ""bling"" but not over the top and these beautiful earrings were perfect. They were shipped timely and packaged beautifully. would recommend highly!
        ",1.0
166,"
            These earrings are beautiful and so comfortable! I have very sensitive ears, and I love that these earrings are made from surgical steel! I can wear them all day and no problems. They also shipped very quickly. So excited to find a local British Columbian to get my jewelry from! Will be shopping here again.
        ",1.0
167,"
            I'm getting so many complements for these ^_^ They're even prettier up close!
        ",1.0
168,"
            Very nice, looks exactly as shown!!
        ",1.0
169,"
            Love the earrings :) get lots of compliments when wearing them.
        ",1.0
170,"
            Just as described and shipped quickly. Beautiful earrings!
        ",1.0
